股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅,流通市值,总市值
600159.SH,大龙地产,20210720,2.5,2.51,2.47,2.49,2.5,-0.01,-0.4,25527.11,6344.465
600159.SH,大龙地产,20210719,2.51,2.51,2.47,2.5,2.5,0.0,0.0,42450.66,10566.084
600159.SH,大龙地产,20210716,2.5,2.53,2.48,2.5,2.5,0.0,0.0,36291.57,9077.092
600159.SH,大龙地产,20210715,2.54,2.54,2.48,2.5,2.54,-0.04,-1.5748,33311.57,8323.085
600159.SH,大龙地产,20210714,2.55,2.55,2.51,2.54,2.56,-0.02,-0.7813,31916.0,8078.01
600159.SH,大龙地产,20210713,2.53,2.56,2.51,2.56,2.54,0.02,0.7874,35570.01,9007.537
600159.SH,大龙地产,20210712,2.55,2.57,2.53,2.54,2.54,0.0,0.0,58348.0,14868.522
600159.SH,大龙地产,20210709,2.52,2.55,2.5,2.54,2.52,0.02,0.7937,37021.11,9359.562
600159.SH,大龙地产,20210708,2.56,2.57,2.5,2.52,2.56,-0.04,-1.5625,45480.0,11483.775
600159.SH,大龙地产,20210707,2.56,2.6,2.54,2.56,2.58,-0.02,-0.7752,57550.0,14781.32
600159.SH,大龙地产,20210706,2.54,2.59,2.53,2.58,2.54,0.04,1.5748,88464.52,22742.471
600159.SH,大龙地产,20210705,2.5,2.55,2.47,2.54,2.5,0.04,1.6,73617.74,18518.027
600159.SH,大龙地产,20210702,2.46,2.5,2.44,2.5,2.47,0.03,1.2146,59283.02,14688.604
600159.SH,大龙地产,20210701,2.49,2.5,2.46,2.47,2.48,-0.01,-0.4032,39777.01,9829.275
600159.SH,大龙地产,20210630,2.46,2.5,2.45,2.48,2.46,0.02,0.813,64996.88,16110.494
600159.SH,大龙地产,20210629,2.45,2.48,2.43,2.46,2.45,0.01,0.4082,61123.56,15029.29
600159.SH,大龙地产,20210628,2.48,2.49,2.44,2.45,2.47,-0.02,-0.8097,63359.79,15579.433
600159.SH,大龙地产,20210625,2.49,2.5,2.46,2.47,2.49,-0.02,-0.8032,47620.0,11795.135
600159.SH,大龙地产,20210624,2.48,2.5,2.45,2.49,2.48,0.01,0.4032,56378.0,13932.882
600159.SH,大龙地产,20210623,2.51,2.51,2.48,2.48,2.5,-0.02,-0.8,41608.0,10378.199
600159.SH,大龙地产,20210622,2.5,2.52,2.49,2.5,2.5,0.0,0.0,29756.0,7455.481
600159.SH,大龙地产,20210621,2.47,2.51,2.46,2.5,2.48,0.02,0.8065,43794.0,10903.08
600159.SH,大龙地产,20210618,2.49,2.5,2.46,2.48,2.46,0.02,0.813,35691.0,8845.013
600159.SH,大龙地产,20210617,2.53,2.57,2.51,2.51,2.55,-0.04,-1.5686,32725.24,8290.725
600159.SH,大龙地产,20210616,2.55,2.57,2.52,2.55,2.55,0.0,0.0,55119.0,14029.966
600159.SH,大龙地产,20210615,2.6,2.6,2.53,2.55,2.59,-0.04,-1.5444,51902.1,13307.816
600159.SH,大龙地产,20210611,2.58,2.61,2.58,2.59,2.58,0.01,0.3876,37245.0,9662.784
600159.SH,大龙地产,20210610,2.63,2.64,2.58,2.58,2.62,-0.04,-1.5267,44299.55,11546.841
600159.SH,大龙地产,20210609,2.64,2.64,2.61,2.62,2.64,-0.02,-0.7576,32443.84,8519.592
600159.SH,大龙地产,20210608,2.63,2.65,2.61,2.64,2.63,0.01,0.3802,34013.0,8947.922
600159.SH,大龙地产,20210607,2.6,2.64,2.58,2.63,2.61,0.02,0.7663,56476.01,14772.925
600159.SH,大龙地产,20210604,2.63,2.66,2.59,2.61,2.64,-0.03,-1.1364,57517.35,15107.758
600159.SH,大龙地产,20210603,2.65,2.67,2.62,2.64,2.66,-0.02,-0.7519,52366.1,13854.144
600159.SH,大龙地产,20210602,2.64,2.68,2.64,2.66,2.65,0.01,0.3774,56561.02,15029.404
600159.SH,大龙地产,20210601,2.65,2.68,2.6,2.65,2.65,0.0,0.0,66588.15,17635.656
600159.SH,大龙地产,20210531,2.71,2.71,2.62,2.65,2.7,-0.05,-1.8519,89567.26,23719.034
600159.SH,大龙地产,20210528,2.66,2.73,2.65,2.7,2.65,0.05,1.8868,167744.0,45314.473
600159.SH,大龙地产,20210527,2.59,2.69,2.57,2.65,2.59,0.06,2.3166,157093.74,41598.741
600159.SH,大龙地产,20210526,2.55,2.59,2.54,2.59,2.56,0.03,1.1719,63596.0,16398.518
600159.SH,大龙地产,20210525,2.55,2.57,2.52,2.56,2.57,-0.01,-0.3891,59194.95,15060.657
600159.SH,大龙地产,20210524,2.49,2.58,2.48,2.57,2.49,0.08,3.2129,106245.83,26998.229
600159.SH,大龙地产,20210521,2.49,2.52,2.45,2.49,2.49,0.0,0.0,46776.0,11614.326
600159.SH,大龙地产,20210520,2.51,2.52,2.48,2.49,2.52,-0.03,-1.1905,26810.4,6673.006
600159.SH,大龙地产,20210519,2.52,2.54,2.48,2.52,2.53,-0.01,-0.3953,46767.03,11746.902
600159.SH,大龙地产,20210518,2.5,2.54,2.46,2.53,2.51,0.02,0.7968,79133.52,19796.176
