股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅,流通市值,总市值
000008.SZ,神州高铁,20210720,2.16,2.19,2.16,2.18,2.17,0.01,0.4608,84678.74,18371.936
000008.SZ,神州高铁,20210719,2.16,2.17,2.15,2.17,2.17,0.0,0.0,94179.12,20354.937
000008.SZ,神州高铁,20210716,2.19,2.19,2.17,2.17,2.17,0.0,0.0,80503.0,17538.302
000008.SZ,神州高铁,20210715,2.18,2.18,2.15,2.17,2.18,-0.01,-0.4587,101124.69,21902.478
000008.SZ,神州高铁,20210714,2.19,2.2,2.18,2.18,2.2,-0.02,-0.9091,84981.54,18565.341
000008.SZ,神州高铁,20210713,2.19,2.2,2.17,2.2,2.19,0.01,0.4566,92685.58,20254.494
000008.SZ,神州高铁,20210712,2.19,2.22,2.18,2.19,2.18,0.01,0.4587,154390.8,33877.511
000008.SZ,神州高铁,20210709,2.16,2.19,2.15,2.18,2.16,0.02,0.9259,117435.81,25468.389
000008.SZ,神州高铁,20210708,2.18,2.19,2.15,2.16,2.19,-0.03,-1.3699,129870.48,28139.778
000008.SZ,神州高铁,20210707,2.18,2.19,2.17,2.19,2.19,0.0,0.0,75565.35,16502.202
000008.SZ,神州高铁,20210706,2.19,2.19,2.17,2.19,2.19,0.0,0.0,105413.2,22984.705
000008.SZ,神州高铁,20210705,2.18,2.2,2.18,2.19,2.18,0.01,0.4587,91731.52,20035.631
000008.SZ,神州高铁,20210702,2.2,2.2,2.18,2.18,2.2,-0.02,-0.9091,86327.31,18881.189
000008.SZ,神州高铁,20210701,2.22,2.22,2.2,2.2,2.22,-0.02,-0.9009,85065.0,18751.871
000008.SZ,神州高铁,20210630,2.23,2.23,2.21,2.22,2.23,-0.01,-0.4484,97628.71,21682.842
000008.SZ,神州高铁,20210629,2.2,2.24,2.19,2.23,2.2,0.03,1.3636,202984.1,45148.692
000008.SZ,神州高铁,20210628,2.21,2.22,2.2,2.2,2.21,-0.01,-0.4525,73248.97,16146.129
000008.SZ,神州高铁,20210625,2.21,2.22,2.2,2.21,2.21,0.0,0.0,109348.05,24154.554
000008.SZ,神州高铁,20210624,2.21,2.22,2.2,2.21,2.21,0.0,0.0,112273.84,24837.873
000008.SZ,神州高铁,20210623,2.21,2.22,2.2,2.21,2.22,-0.01,-0.4505,91493.76,20194.389
000008.SZ,神州高铁,20210622,2.2,2.22,2.19,2.22,2.19,0.03,1.3699,107000.22,23610.99
000008.SZ,神州高铁,20210621,2.19,2.22,2.18,2.19,2.2,-0.01,-0.4545,139207.0,30638.285
000008.SZ,神州高铁,20210618,2.19,2.2,2.18,2.2,2.19,0.01,0.4566,113970.35,24935.266
000008.SZ,神州高铁,20210617,2.19,2.2,2.18,2.19,2.19,0.0,0.0,84680.3,18549.435
000008.SZ,神州高铁,20210616,2.19,2.21,2.18,2.19,2.19,0.0,0.0,114930.76,25247.044
000008.SZ,神州高铁,20210615,2.22,2.23,2.18,2.19,2.23,-0.04,-1.7937,207590.02,45568.001
000008.SZ,神州高铁,20210611,2.25,2.26,2.21,2.23,2.25,-0.02,-0.8889,290145.93,64808.676
000008.SZ,神州高铁,20210610,2.25,2.26,2.24,2.25,2.26,-0.01,-0.4425,133107.92,29952.652
000008.SZ,神州高铁,20210609,2.26,2.27,2.25,2.26,2.27,-0.01,-0.4405,165759.57,37354.377
000008.SZ,神州高铁,20210608,2.27,2.28,2.26,2.27,2.27,0.0,0.0,100623.62,22789.995
000008.SZ,神州高铁,20210607,2.26,2.28,2.26,2.27,2.27,0.0,0.0,95692.0,21706.18
000008.SZ,神州高铁,20210604,2.29,2.3,2.26,2.27,2.29,-0.02,-0.8734,130939.72,29793.048
000008.SZ,神州高铁,20210603,2.28,2.3,2.28,2.29,2.28,0.01,0.4386,179079.14,41010.925
000008.SZ,神州高铁,20210602,2.27,2.29,2.27,2.28,2.28,0.0,0.0,126807.0,28933.202
000008.SZ,神州高铁,20210601,2.26,2.28,2.25,2.28,2.26,0.02,0.885,153836.18,34876.868
000008.SZ,神州高铁,20210531,2.28,2.28,2.26,2.26,2.28,-0.02,-0.8772,119201.0,26990.004
000008.SZ,神州高铁,20210528,2.27,2.29,2.27,2.28,2.27,0.01,0.4405,103969.79,23704.378
000008.SZ,神州高铁,20210527,2.29,2.29,2.27,2.27,2.29,-0.02,-0.8734,132808.21,30249.552
000008.SZ,神州高铁,20210526,2.28,2.3,2.26,2.29,2.28,0.01,0.4386,181094.83,41364.549
000008.SZ,神州高铁,20210525,2.27,2.28,2.26,2.28,2.27,0.01,0.4405,95193.4,21631.053
000008.SZ,神州高铁,20210524,2.26,2.28,2.25,2.27,2.26,0.01,0.4425,84024.28,19030.464
000008.SZ,神州高铁,20210521,2.25,2.27,2.24,2.26,2.25,0.01,0.4444,92608.08,20892.51
000008.SZ,神州高铁,20210520,2.26,2.27,2.24,2.25,2.26,-0.01,-0.4425,117379.16,26412.5
000008.SZ,神州高铁,20210519,2.27,2.27,2.24,2.26,2.27,-0.01,-0.4405,114165.0,25762.921
000008.SZ,神州高铁,20210518,2.27,2.28,2.26,2.27,2.27,0.0,0.0,63612.5,14439.981
000008.SZ,神州高铁,20210517,2.29,2.3,2.26,2.27,2.3,-0.03,-1.3043,114500.2,26095.508
000008.SZ,神州高铁,20210514,2.29,2.3,2.28,2.3,2.3,0.0,0.0,132791.92,30425.064
000008.SZ,神州高铁,20210513,2.28,2.31,2.27,2.3,2.29,0.01,0.4367,160435.99,36777.231
000008.SZ,神州高铁,20210512,2.29,2.29,2.27,2.29,2.29,0.0,0.0,91362.99,20818.593
000008.SZ,神州高铁,20210511,2.27,2.3,2.25,2.29,2.27,0.02,0.8811,123018.51,27944.507
000008.SZ,神州高铁,20210510,2.27,2.29,2.26,2.27,2.27,0.0,0.0,94496.03,21464.903
000008.SZ,神州高铁,20210507,2.25,2.28,2.24,2.27,2.25,0.02,0.8889,157219.55,35583.402
000008.SZ,神州高铁,20210506,2.24,2.27,2.24,2.25,2.24,0.01,0.4464,114142.7,25703.268
000008.SZ,神州高铁,20210430,2.26,2.27,2.23,2.24,2.27,-0.03,-1.3216,101124.0,22693.105
000008.SZ,神州高铁,20210429,2.25,2.27,2.24,2.27,2.25,0.02,0.8889,101583.46,22901.961
000008.SZ,神州高铁,20210428,2.26,2.27,2.24,2.25,2.26,-0.01,-0.4425,91810.0,20666.555
000008.SZ,神州高铁,20210427,2.24,2.28,2.24,2.26,2.25,0.01,0.4444,113130.6,25605.458
000008.SZ,神州高铁,20210426,2.27,2.28,2.24,2.25,2.28,-0.03,-1.3158,127232.09,28708.087
000008.SZ,神州高铁,20210423,2.3,2.3,2.25,2.28,2.3,-0.02,-0.8696,206769.0,46868.071
000008.SZ,神州高铁,20210422,2.31,2.33,2.3,2.3,2.31,-0.01,-0.4329,114808.32,26522.367
000008.SZ,神州高铁,20210421,2.35,2.35,2.3,2.31,2.35,-0.04,-1.7021,139939.0,32405.179
000008.SZ,神州高铁,20210420,2.4,2.4,2.34,2.35,2.39,-0.04,-1.6736,150979.35,35746.757
000008.SZ,神州高铁,20210419,2.35,2.4,2.34,2.39,2.34,0.05,2.1368,248491.72,59250.35
000008.SZ,神州高铁,20210416,2.28,2.34,2.27,2.34,2.28,0.06,2.6316,212802.63,49383.482
000008.SZ,神州高铁,20210415,2.29,2.31,2.27,2.28,2.31,-0.03,-1.2987,155685.28,35607.179
000008.SZ,神州高铁,20210414,2.29,2.32,2.28,2.31,2.3,0.01,0.4348,102306.41,23572.809
000008.SZ,神州高铁,20210413,2.32,2.33,2.29,2.3,2.33,-0.03,-1.2876,122164.9,28171.99
000008.SZ,神州高铁,20210412,2.32,2.33,2.3,2.33,2.32,0.01,0.431,159702.3,37030.131
000008.SZ,神州高铁,20210409,2.31,2.33,2.3,2.32,2.33,-0.01,-0.4292,96501.65,22302.95
000008.SZ,神州高铁,20210408,2.34,2.35,2.31,2.33,2.35,-0.02,-0.8511,137943.42,32083.634
000008.SZ,神州高铁,20210407,2.3,2.35,2.29,2.35,2.3,0.05,2.1739,168243.3,39266.215
000008.SZ,神州高铁,20210406,2.29,2.31,2.26,2.3,2.29,0.01,0.4367,92499.64,21174.2
000008.SZ,神州高铁,20210402,2.32,2.32,2.28,2.29,2.31,-0.02,-0.8658,98999.35,22687.335
000008.SZ,神州高铁,20210401,2.31,2.32,2.29,2.31,2.29,0.02,0.8734,106268.0,24568.112
000008.SZ,神州高铁,20210331,2.27,2.31,2.24,2.29,2.28,0.01,0.4386,114631.78,26204.819
000008.SZ,神州高铁,20210330,2.34,2.34,2.28,2.28,2.33,-0.05,-2.1459,142010.67,32581.382
000008.SZ,神州高铁,20210329,2.34,2.35,2.32,2.33,2.35,-0.02,-0.8511,119313.12,27851.852
000008.SZ,神州高铁,20210326,2.34,2.36,2.33,2.35,2.35,0.0,0.0,110407.0,25873.36
000008.SZ,神州高铁,20210325,2.36,2.37,2.33,2.35,2.36,-0.01,-0.4237,101495.0,23783.986
000008.SZ,神州高铁,20210324,2.35,2.36,2.33,2.36,2.34,0.02,0.8547,108301.0,25447.766
000008.SZ,神州高铁,20210323,2.37,2.38,2.33,2.34,2.36,-0.02,-0.8475,115153.48,27025.406
000008.SZ,神州高铁,20210322,2.33,2.37,2.33,2.36,2.33,0.03,1.2876,99909.31,23540.557
000008.SZ,神州高铁,20210319,2.36,2.38,2.33,2.33,2.36,-0.03,-1.2712,168433.25,39550.265
000008.SZ,神州高铁,20210318,2.37,2.38,2.35,2.36,2.37,-0.01,-0.4219,106984.0,25315.667
000008.SZ,神州高铁,20210317,2.4,2.41,2.37,2.37,2.4,-0.03,-1.25,105724.51,25201.542
000008.SZ,神州高铁,20210316,2.39,2.42,2.38,2.4,2.4,0.0,0.0,114042.0,27382.794
000008.SZ,神州高铁,20210315,2.38,2.41,2.37,2.4,2.38,0.02,0.8403,134801.63,32243.284
000008.SZ,神州高铁,20210312,2.36,2.39,2.33,2.38,2.37,0.01,0.4219,127853.61,30228.38
000008.SZ,神州高铁,20210311,2.33,2.38,2.31,2.37,2.33,0.04,1.7167,140153.74,32898.738
000008.SZ,神州高铁,20210310,2.38,2.4,2.33,2.33,2.39,-0.06,-2.5105,135210.58,32062.255
000008.SZ,神州高铁,20210309,2.41,2.42,2.33,2.39,2.41,-0.02,-0.8299,177815.57,42377.881
000008.SZ,神州高铁,20210308,2.42,2.45,2.4,2.41,2.42,-0.01,-0.4132,155578.0,37698.759
000008.SZ,神州高铁,20210305,2.39,2.43,2.38,2.42,2.4,0.02,0.8333,156554.0,37780.553
000008.SZ,神州高铁,20210304,2.39,2.41,2.38,2.4,2.38,0.02,0.8403,149596.88,35776.106
000008.SZ,神州高铁,20210303,2.36,2.39,2.35,2.38,2.36,0.02,0.8475,131872.07,31331.65
000008.SZ,神州高铁,20210302,2.38,2.39,2.35,2.36,2.37,-0.01,-0.4219,150444.34,35612.977
000008.SZ,神州高铁,20210301,2.35,2.38,2.34,2.37,2.35,0.02,0.8511,115844.35,27386.6
000008.SZ,神州高铁,20210226,2.36,2.39,2.33,2.35,2.38,-0.03,-1.2605,139070.0,32751.728
000008.SZ,神州高铁,20210225,2.41,2.42,2.37,2.38,2.38,0.0,0.0,121599.0,28998.444
